name,position,age,height,league_rank,average_market_value,highest_market_value,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,data_year,nationality,mil_average_market_value
Sadio Mané,Attack,30,174,1,75000000,80000000,3858,77.160004,.1,5,.0012960082,.46000001,23,.0059616379,8,.7719298,2023,Senegal,75
Salih Özcan,Midfield,24,183,2,8000000,13000000,2527,74.323532,.029411765,1,.00039572615,.05882353,2,.0007914523,5,.43243244,2023,Germany,8
Salvatore Sirigu,Goalkeeper,35,192,4,1500000,1500000,3330,90,0,0,0,0,0,0,0,.14634146,2023,Italy,1.5
Sam Byram,Defender,28,183,1,2000000,2000000,1275,70.833336,0,0,0,0,0,0,4,.17073171,2023,England,2
Sam Lammers,Attack,25,191,2,3333333.3,4000000,832,34.666668,0,0,0,.083333336,2,.0024038462,1,.375,2023,Netherlands,3.3333333
Saman Ghoddos,Midfield,28,175,1,2750000,3000000,628,33.052631,.10526316,2,.0031847134,.052631579,1,.0015923567,2,.34999999,2023,Iran,2.75
Sambou Sissoko,Midfield,23,179,5,500000,500000,170,21.25,0,0,0,0,0,0,0,.28947368,2023,France,.5
Samir Ujkani,Goalkeeper,33,186,4,200000,200000,90,90,0,0,0,0,0,0,0,.29268292,2023,Kosovo,.2
Samuel Chukwueze,Attack,23,172,3,20000000,20000000,1769,46.552631,.078947365,3,.0016958733,.18421052,7,.0039570378,4,.42592594,2023,Nigeria,20
Samuel Moutoussamy,Midfield,25,176,5,1833333.4,3000000,1502,50.066666,.033333335,1,.00066577893,0,0,0,5,.39473686,2023,France,1.8333334
Samuel Umtiti,Defender,28,182,3,3000000,5000000,90,90,0,0,0,0,0,0,1,.49056605,2023,France,3
Sandro Tonali,Midfield,22,181,4,41666668,50000000,3150,70,.06666667,3,.00095238094,.11111111,5,.0015873016,11,.60416669,2023,Italy,41.666668
Sascha Burchert,Goalkeeper,32,187,2,425000,450000,1260,90,0,0,0,0,0,0,0,.085714288,2023,Germany,.42500001
Saulo Decarli,Defender,30,188,2,366666.66,500000,8,8,0,0,0,0,0,0,0,.39473686,2023,Switzerland,.36666664
Saîf-Eddine Khaoui,Midfield,27,180,5,1500000,1500000,923,40.130436,.043478262,1,.0010834236,.043478262,1,.0010834236,1,.23684211,2023,Tunisia,1.5
Saïd Benrahma,Attack,26,172,1,25000000,25000000,2833,61.586956,.13043478,6,.0021178962,.23913044,11,.0038828098,1,.4528302,2023,Algeria,25
Scott McTominay,Midfield,25,191,1,33500000,35000000,3001,81.108109,.027027028,1,.00033322227,.054054055,2,.00066644454,10,.41666666,2023,Scotland,33.5
Sean Longstaff,Midfield,24,187,1,13000000,13000000,1520,60.799999,.039999999,1,.00065789477,.039999999,1,.00065789477,1,.33333334,2023,England,13
Sebastiaan Bornauw,Defender,23,191,2,12333333,14000000,2229,71.903229,.032258064,1,.00044863168,.032258064,1,.00044863168,4,.31707317,2023,Belgium,12.333333
Sebastian Andersson,Attack,30,190,2,2500000,3000000,1453,50.103447,.034482758,1,.00068823126,.10344828,3,.0020646937,3,.43243244,2023,Sweden,2.5
Sebastian Griesbeck,Defender,31,189,2,750000,800000,2449,81.633331,0,0,0,.033333335,1,.00040832994,7,.085714288,2023,Germany,.75
Sebastian Polter,Attack,31,192,2,1850000,2200000,2541,70.583336,.083333336,3,.0011806375,.30555555,11,.0043290043,4,.39473686,2023,Germany,1.85
Sebastian Rode,Midfield,31,179,2,2500000,2500000,1197,42.75,0,0,0,.035714287,1,.0008354219,3,.375,2023,Germany,2.5
Sebastian Rudy,Midfield,32,180,2,2000000,2500000,925,38.541668,.041666668,1,.0010810811,.125,3,.0032432433,5,.4054054,2023,Germany,2
